id,name,city,address_1,address_2,lat,lon
10000252,"BA Insight","Boston","20 Park Plaza, Suite 1203",,42.351517,-71.068672
10004812,"Wonder Bar","Allston","186 Harvard Avenue",,42.350895,-71.13121
10054772,"Microsoft NERD Center, First Floor Horace Mann Room","Cambridge","One Memorial Drive",,42.36129,-71.081192
1011916,"RiverFront Office Park Conference Room","Cambridge","1 main street and 101 Main street",,42.362147,-71.082774
10170692,"Boston Common Coffee Co","Boston","515 Washington Street",,42.354244,-71.061958
10187592,"Localytics Office","Boston","141 Tremont St., 7th Floor",,42.355442,-71.062798
1020333,"An Tua Nua","Boston","835 Beacon Street",,42.347174,-71.102917
1020333,"An Tua Nua","Boston","835 Beacon Street",,42.347176,-71.10292
10227522,"International Entrepreneurship Center","Newtonville","320 Nevada Street, Suite 301",,42.358685,-71.205566
10249102,"Sampson/Paul room","Cambridge","Microsoft New England Research & Development Center",,42.373615,-71.109734
10262362,"Skype","Boston","Your Office or Home",,42.358429,-71.059776
10287142,"hack / reduce","Cambridge","275 3rd St",,42.365776,-71.082466
10303472,"Brandeis University","Waltham","415 South Street",,42.365204,-71.254906
10397052,"Sapient Corporation","Boston","131 Dartmouth Street #301",,42.34711,-71.075584
10397052,"Sapient Corporation","Boston","131 Dartmouth Street #301",,42.347111,-71.075584
10403912,"Courtyard Boston Downtown/Tremont","Boston","275 Tremont Street",,42.350029,-71.065231
10407952,"Live Webcast","Wakefield","200 Quannapowitt Parkway",,42.521027,-71.085007
10476152,"Hack/Reduce","Cambridge","275 Third Street",,42.365776,-71.082466
10532532,"Democracy Center","Cambridge","45 Mt Auburn St",,42.371239,-71.116272
1054297,"Microsoft New England Research & Development Center (NERD)","Cambridge","One Memorial Drive","Suite 100",42.360794,-71.082504
1058452,"Oberon","Cambridge","2 Arrow Street",,42.370087,-71.113556
10603842,"Harvard University-Graduate School Of Design","Cambridge","48 Quincy Street",,42.375816,-71.113998
10725772,"Patil/Kiva 32-G449","Cambridge","MIT",,42.358448,-71.091217
1077178,"Mojitos Lounge","Boston","48 Winter Street",,42.355963,-71.062025
10800972,"John Harvard's Brew House","Cambridge","33 Dunster Street",,42.372433,-71.119308
10804452,"LIR","Boston","903 Boylston Street",,42.348289,-71.084152
10814122,"Microsoft NERD - Horace Mann Room","Cambridge","1 Memorial Drive",,42.36129,-71.081192
10922072," Boston Convention & Exhibition Center","Boston","415 Summer Street",,42.347134,-71.04409
10976182,"Snell Library - Northeastern University","Boston","360 Huntington Avenue",,42.339169,-71.08847
1100017,"Boston Center for the Arts - Cyclorama","Boston","539 Tremont St. (Clarendon & Berkeley Sts.)",,42.345264,-71.069832
1101966,"Bill Bordy Theater","Boston","216 Tremont Street",,42.3516,-71.0644
11064962,"#mysqlmarinate","IRC","chat.freenode.net",,42.407211,-71.382439
1111109,"Microsoft","Cambridge","1 Memorial Dr",,42.363858,-71.116077
11148972,"Umbria Prime","Boston","295 Franklin Street",,42.357071,-71.052818
11160202,"Brightcove","Boston","290 Congress Street 3rd Floor",,42.352947,-71.052544
11199792,"Velir","Somerville","212 Elm Street",,42.394424,-71.121262
11203852,"Radcliffe College Room, Schlesinger Library, Harvard","Cambriedge","10 Garden Street",,42.376244,-71.122391
11204872,"online","Cambridge","online",,42.373615,-71.109734
11205262,"online","Brighton","online",,42.346352,-71.162674
1121478,"Northeastern University","Boston","108 West Village G (450 Parker St)",,42.338027,-71.092191
11216952,"Communispace","Boston","290 Congress Street",,42.352947,-71.052544
11262292,"one cambridge center, cambridge, ma 02142","Cambridge","One Cambridge Center",,42.362583,-71.08535
112800,"Simmons College","Boston","300 Fenway",,42.34,-71.089996
11285672,"Foley & Lardner","Boston","111 Huntington Avenue, Suite 2500, Boston, MA",,42.346077,-71.081421
11289542,"Telenav","Boston","201 South Street",,42.3032,-71.114647
11336482,"Umbria Prime","Boston","295 Franklin Street",,42.357071,-71.052818
11336722,"The Verve Crowne Plaza - Natick","Natick","1360 Worcester Street",,42.298,-71.388496
11358592,"MIT room 2-135","Cambridge","MIT campus",,42.358814,-71.090416
11358592,"MIT room 2-135","Cambridge","MIT campus",,42.3591,-71.093399
11358602,"MIT room 2-139","Cambridge","MIT campus",,42.358845,-71.09029
11358602,"MIT room 2-139","Cambridge","MIT campus",,42.3591,-71.093399
1138289,"WorkBar Boston","Boston","711 Atlantic Ave",,42.35107,-71.056473
11399982,"Meadhall","Cambridge","4 Cambridge Center",,42.363522,-71.087357
11434792,"Google","Cambridge","141 Portland Street - #700",,42.365601,-71.092415
11452782,"Oficio","Boston","30 Newbury Street",,42.35223,-71.072708
11453662,"East Arcade Conference Room ","Cambridge","1 Main St ",,42.362118,-71.080078
1146808,"JJ Foley's in Downtown Boston","Boston","21 Kingston Street","near Macy's",42.35379,-71.058914
11514362,"Redbones Barbecue","Somerville","55 Chester Street",,42.395084,-71.122322
11588782,"MIT Stata Center - Kiva (G449)","Cambridge","32 Vassar Street, Cambridge, MA",,42.361866,-71.090561
1160978,"NEXUS Resource Center","Boston","38 Chauncy Street","7th Floor",42.353952,-71.059899
11625912,"Crashlytics","Cambridge","1 Kendall Square",,42.36779,-71.089722
1163607,"New England Research & Development Center (NERD) ","Cambridge","One Memorial Drive",,42.363858,-71.116077
1165910,"MIT","Cambridge","50 Vassar Street","Building 34-101",42.361329,-71.092068
11683302,"Harvard University CGIS Knafel (North) Room K262","Cambridge","1737 Cambridge Street",,42.375317,-71.112999
11803872,"Northeastern University Curry Student Center","Boston","346 Huntington Avenue",,42.340237,-71.088966
11812262,"Cantina","Boston","320 Congress Street, 1st floor (corner of Sleeper and Congress)",,42.358429,-71.059776
1183018,"Dogpatch Labs","Cambridge","222 3rd Street, 4th Floor",,42.367098,-71.081522
11830622,"DockYard","Boston","101 Tremont St",,42.357265,-71.061134
11953342,"Fresh Tilled Soil","Watertown","480 Pleasant Street a310",,42.36599,-71.206589
11969372,"Tri-County Regional Vocational Technical High School","Franklin","147 Pond Street",,42.094097,-71.423904
11995782,"Microsoft Cambridge","Cambridge","1 Cambridge Center",,42.362583,-71.08535
12062222,"Watertown Library","Watertown, 02472","123 Main St ",,42.367336,-71.18692
1209314,"Cantina Consulting Office","Newton Center","15 Cypress Street","Suite 200",42.328922,-71.194847
1210878,"Microsoft N.E.R.D. Center","Cambridge","One Memorial Drive",,42.361406,-71.081282
12119972,"The Institute Of Contemporary Art","Boston","100 Northern Avenue",,42.352825,-71.04306
1212564,"One Laptop Per Child","Cambridge","1 Cambridge Center, 10th Floor","Kendall Square",42.362489,-71.085338
12156892,"Workbar","Cambridge","45 Prospect St",,42.366222,-71.103302
1218644,"MiniBar","Boston","51 Huntington Ave ",,42.348487,-71.078006
12199392,"hack/reduce","Cambridge","275 Third Street",,42.365948,-71.082573
12210662,"Myopia Polo Club ","South Hamilton","435 Bay Rd ",,42.615322,-70.866608
12219002,"Commons, set theater at NERD","Cambridge","One Memorial Drive",,42.361404,-71.081284
12263482,"Pollard Memorial Library","Lowell","401 Merrimack Street",,42.646103,-71.31443
12298452,"Libboo HQ in Inman Square","Cambridge","5 Fainwood Circle",,42.373238,-71.103081
1230446,"The Hub Pub","Boston","18 Province Street",,42.357281,-71.059695
12341822,"Cambridge Innovation Center","Cambridge","Grenada Meeting Room, 5th Floor, One Broadway, ",,42.368553,-71.099075
12342962,"Cambridge Innovation Center ","Cambridge","One Broadway",,42.362732,-71.083199
